brand,size,price,query,image,link
Other,XL,$15.00,y2k top,https://media-photos.depop.com/b1/51828088/3685169134_f1a4e1f036f44bb6b0036539016f9746/P0.jpg,https://www.depop.com/products/virtkalangelsvtg-super-cute-2000s-grunge-1328/
Old Navy,L,$20.00,y2k top,https://media-photos.depop.com/r1/17727522/3697339427_0491d82868b1439e8dcc83edeadbe4c0/P0.jpg,https://www.depop.com/products/hautehofeyvintage-vintage-y2k-100-cotton-brown-d1e7/
Other,L,$15.00,y2k top,https://media-photos.depop.com/b1/51828088/3685385017_f8b3b71c64be4f5fa04635d0d1b3012c/P0.jpg,https://www.depop.com/products/virtpalangelsvtg-super-cute-2000s-brown-2afe/
Brandy Melville,One size,$11.00,y2k top,https://media-photos.depop.com/b1/47308551/3695190177_2645d76f187845b3b891f6790d18f125/P0.jpg,https://www.depop.com/products/kyras_boutique-cute-trendy-brandy-burgundy-off-b90b/
American Vintage,XS,$26.00,y2k top,https://media-photos.depop.com/b1/17526997/3693310604_15705842dcff4ea6a6aa0d7a0ec4ddb0/P0.jpg,https://www.depop.com/products/joied5vivrevintage-vintage-y2k-authentic-579-denim-a6c7/
Brandy Melville,XS,$16.00,y2k top,https://media-photos.depop.com/b1/24276547/3686683281_d95465c747b947d0a12aeac77b7f4a1f/P0.jpg,https://www.depop.com/products/daahriftytienda-y2k-purple-ribbed-cami-tank-ad37/
American Eagle Outfitters,"33""",$27.99,baggy jeans,https://media-photos.depop.com/b1/48299678/3620609611_d239f0248abb4c769a1f498148b8d9e3/P0.jpg,https://www.depop.com/products/solobyrocco-vintage-2000s-american-eagle-baggy-db00/
Levi's,"33""",$25.00,baggy jeans,https://media-photos.depop.com/b1/44841002/3680675155_1d962ebaacc34b3da1979ccc94a43604/P0.jpg,https://www.depop.com/products/intensevinttge-2000s-y2k-levis-560-baggy-cf74/
American Vintage,"38""",$25.00,baggy jeans,https://media-photos.depop.com/b1/47059179/3694976876_be5862ffe08c4e96aef961465bb62af5/P0.jpg,https://www.depop.com/products/swagsfjtss-crazy-baggy-y2k-brooklyn-express-f82e/
Hollister Co.,16,$14.00,baggy jeans,https://media-photos.depop.com/b1/483301638/3694199258_6b8672081a3c4c718960fb3c5a077426/P0.jpg,https://www.depop.com/products/_0b28kk-hollister-light-blue-demin-jeans-deea/
American Vintage,"36""",$27.00,baggy jeans,https://media-photos.depop.com/b1/234199561/3697929483_a6a5884f26a64a57bd5bf623cd80a11c/P0.jpg,https://www.depop.com/products/xyzxwag-super-sick-grunge-distressed-indie-3a36/
Levi's,"34""",$15.00,baggy jeans,https://media-photos.depop.com/b1/363771234/3700494286_42dab33337be4682a64b0d0dae0e68e0/P0.jpg,https://www.depop.com/products/jpvintapes-baggy-wideleg-vintage-y2k-dark-940d/
Tommy Hilfiger,"32""",$19.99,baggy jeans,https://media-photos.depop.com/b1/44443336/3700516416_91d1f26f977b4428981954c86407c748/P0.jpg,https://www.depop.com/products/studpo14vtg-tommy-hilfiger-baggy-blue-denim-1529/
Edikted,S,$8.00,baggy jeans,https://media-photos.depop.com/b1/341644619/3696606244_61c2e5ecc23a458c894283b0234069c5/P0.jpg,https://www.depop.com/products/st1rr43-edikted-dark-wash-low-rise-a418/
Abercrombie & Fitch,"36""",$40.00,baggy jeans,https://media-photos.depop.com/b1/34918491/3700778617_90ad9ede71184d5ab3be7392468634dd/P0.jpg,https://www.depop.com/products/leveln3ne-vintage-90s-abercrombie-and-fitch-b483/
Carhartt,"26""",$27.00,baggy jeans,https://media-photos.depop.com/b1/6692743/repop_40590106_3378324463/3691438582_871da3fe6b8b48f8862d2d8dba018932/P0.jpg,https://www.depop.com/products/kuromixoxbo-repop-i-love-love-love-2ae8/
Utility,"38""",$15.00,baggy jeans,https://media-photos.depop.com/b1/45281662/3689774283_fb998e831ec743b3bc64131fd08131e9/P0.jpg,https://www.depop.com/products/denim_aod_dust_vntg-baggy-utility-light-wash-jeans-5019/
Wrangler,"32""",$17.50,baggy jeans,https://media-photos.depop.com/b1/229581665/3700397228_f7e946a99aad4848be0b260717644f2d/P0.jpg,https://www.depop.com/products/truckerdipt-dark-wash-baggy-2000s-wrangler-0302/
